attack_type,severity_val,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47
scaling,0.738,0.22694902122020721,0.1744883507490158,0.30210357904434204,0.1951211541891098,0.20010019838809967,0.1595415621995926,0.21187135577201843,0.18653136491775513,0.19016779959201813,0.30748963356018066,0.22333531081676483,0.19260378181934357,0.2978297770023346,0.3972392976284027,0.5106152892112732,0.46901118755340576,0.41137203574180603,0.33951860666275024,0.29708823561668396,0.20077228546142578,0.19998805224895477,0.14314132928848267,0.12634296715259552,0.21938155591487885,0.1445941925048828,0.248880997300148,0.17525847256183624,0.31815046072006226,0.24691569805145264,0.19297130405902863,0.24122284352779388,0.22386051714420319,0.2588959336280823,0.3804020583629608,0.4184824824333191,0.2582092583179474,0.21710579097270966,0.2833091616630554,0.3345159888267517,0.3113044202327728,0.301251620054245,0.2624073624610901,0.29791465401649475,0.26152005791664124,0.28947195410728455,0.2528817653656006,0.21336011588573456,0.22237293422222137
scaling,0.665,0.08512654155492783,0.0,0.0,0.05461806803941727,0.143387109041214,0.1553516685962677,0.14850731194019318,0.20399267971515656,0.14303861558437347,0.23587264120578766,0.23648010194301605,0.2757161259651184,0.3803633451461792,0.5066065192222595,0.2814073860645294,0.4343782663345337,0.27551260590553284,0.31069231033325195,0.3549406826496124,0.22241812944412231,0.19552601873874664,0.3030831813812256,0.3288063108921051,0.37459734082221985,0.47756218910217285,0.5770588517189026,0.5253198742866516,0.508326530456543,0.4730255603790283,0.6579310297966003,0.5872238874435425,0.5985174179077148,0.4058855175971985,0.3721977472305298,0.2584247887134552,0.26153457164764404,0.2635132968425751,0.17901082336902618,0.2067292034626007,0.3547392785549164,0.4494777321815491,0.2820710837841034,0.332978755235672,0.28602686524391174,0.15355284512043,0.38983485102653503,0.4963822662830353,0.572720468044281
scaling,0.38,0.10355526208877563,0.5515800714492798,0.4374738037586212,0.8563309907913208,0.7867205142974854,0.5764468312263489,0.3697631061077118,0.3990178108215332,0.511655867099762,0.4194476008415222,0.4339207410812378,0.2883383631706238,0.3590972423553467,0.13325968384742737,0.2997542917728424,0.1406652182340622,0.24379730224609375,0.5564687848091125,0.5346781611442566,0.4861784279346466,0.4495663046836853,0.4531180262565613,0.32876473665237427,0.37058305740356445,0.41189104318618774,0.46302732825279236,0.6452785730361938,0.7952357530593872,0.843317985534668,0.719277024269104,0.6178327202796936,0.5374835729598999,0.7083834409713745,0.7548612952232361,0.7116662859916687,0.5862487554550171,0.6575793623924255,0.8854668140411377,0.7396907806396484,1.0579110383987427,0.8758723735809326,0.9986771941184998,1.2008755207061768,0.7710316777229309,0.9792566299438477,0.962687075138092,0.9347089529037476,0.8964921236038208
scaling,0.724,0.5609230995178223,0.4669515788555145,0.4202498495578766,0.3536144495010376,0.3461873233318329,0.49335524439811707,0.4555845260620117,0.33130016922950745,0.3515533208847046,0.268938273191452,0.18142636120319366,0.2020851969718933,0.22221772372722626,0.15129095315933228,0.17562781274318695,0.23724998533725739,0.26707395911216736,0.24697263538837433,0.27437832951545715,0.36709195375442505,0.4145469069480896,0.32019615173339844,0.28089439868927,0.4187169671058655,0.372546911239624,0.34204816818237305,0.36271214485168457,0.44333145022392273,0.45934075117111206,0.37573128938674927,0.22049735486507416,0.22141051292419434,0.22674375772476196,0.40792372822761536,0.3798249065876007,0.4174085259437561,0.3148144483566284,0.30565017461776733,0.273382306098938,0.2509309649467468,0.16618037223815918,0.24375346302986145,0.30412980914115906,0.3025221824645996,0.26343369483947754,0.43728575110435486,0.25294095277786255,0.28911325335502625
scaling,0.693,0.20387814939022064,0.2060866504907608,0.1033245176076889,0.19949282705783844,0.06796808540821075,0.0779217928647995,0.11970000714063644,0.0,0.005770945455878973,0.0,0.02036260813474655,0.14159107208251953,0.18916381895542145,0.07228884845972061,0.14641617238521576,0.34120187163352966,0.4376797080039978,0.31910187005996704,0.2534610629081726,0.3453015387058258,0.36959269642829895,0.5728700160980225,0.37118837237358093,0.44688740372657776,0.5105593800544739,0.472646564245224,0.4793795645236969,0.41160500049591064,0.24095897376537323,0.13788925111293793,0.4173887372016907,0.4466899633407593,0.33890238404273987,0.4276345670223236,0.3598409593105316,0.4590287506580353,0.4297996759414673,0.43055036664009094,0.5928457975387573,0.5174999237060547,0.4099382758140564,0.5241053700447083,0.47802644968032837,0.3969113826751709,0.5180995464324951,0.5346387028694153,0.31150445342063904,0.16954673826694489
scaling,0.678,0.4493188261985779,0.6277933716773987,0.5672250986099243,0.42702794075012207,0.257210373878479,0.5177215933799744,0.5492411851882935,0.4817699193954468,0.2849454879760742,0.14295119047164917,0.17264904081821442,0.19810383021831512,0.3234202563762665,0.18061356246471405,0.25026410818099976,0.29361745715141296,0.40616506338119507,0.44229447841644287,0.4384537935256958,0.4937770962715149,0.44603127241134644,0.1835767924785614,0.2120288908481598,0.26396819949150085,0.3214995265007019,0.5660200119018555,0.5117669701576233,0.3661554455757141,0.37911558151245117,0.25668928027153015,0.38049349188804626,0.3536742627620697,0.44692927598953247,0.4245370924472809,0.3556933104991913,0.38533642888069153,0.39558809995651245,0.44445064663887024,0.2671363353729248,0.2213572859764099,0.09934809058904648,0.28621724247932434,0.36736199259757996,0.3224835693836212,0.313118040561676,0.3358970582485199,0.28148123621940613,0.28734874725341797
scaling,0.382,0.997138500213623,0.9819158315658569,0.9888442158699036,0.6706402897834778,0.6586111783981323,0.6361837983131409,0.46319836378097534,0.5519654154777527,0.4037722051143646,0.4334762692451477,1.0353065729141235,1.5224612951278687,0.6124311089515686,0.6433354616165161,0.7148042917251587,0.49856823682785034,0.7438501715660095,1.1628490686416626,1.328801155090332,1.247811198234558,1.2572498321533203,0.798802375793457,0.804879367351532,0.9538357853889465,1.2174147367477417,1.3581913709640503,1.0879201889038086,0.9101893901824951,1.17465341091156,1.589024305343628,1.0657005310058594,0.9919177889823914,1.023316740989685,0.9195768237113953,0.9595240354537964,0.7537021040916443,0.8378791809082031,0.890370786190033,0.13883879780769348,0.0293283611536026,0.49876996874809265,0.6180129051208496,0.5149033069610596,1.0173808336257935,0.9048861265182495,1.075985312461853,1.190247893333435,1.1088608503341675
scaling,0.367,0.8511596322059631,0.8323063850402832,0.7641010880470276,0.5759070515632629,0.6564006209373474,0.6755267977714539,0.433370977640152,0.35656148195266724,0.4887463450431824,0.553844690322876,0.5850881934165955,0.7448143362998962,0.7167968153953552,0.2603828012943268,0.19061443209648132,0.1870359182357788,0.3162752687931061,0.38728904724121094,0.5649605989456177,0.6636800169944763,0.7813878655433655,0.687103271484375,0.8415704965591431,0.5534083843231201,0.6478016972541809,0.7876999378204346,0.7073382139205933,0.7619104981422424,0.6219451427459717,0.6895880103111267,0.6168678402900696,0.5021728873252869,0.6144549250602722,0.6358352303504944,0.6880972981452942,0.7372633814811707,0.5638134479522705,0.7466400861740112,0.45662611722946167,0.48235881328582764,0.2945683002471924,0.09838210791349411,0.3793605864048004,0.7070017457008362,0.6377629637718201,0.32137370109558105,0.4477476477622986,0.36332350969314575
scaling,0.467,0.7101346850395203,0.6199418306350708,0.8583583831787109,0.8366345167160034,0.706615686416626,0.6911101937294006,0.6004441380500793,0.39593398571014404,0.8134955763816833,0.6882163882255554,0.9945318102836609,0.8445768356323242,0.7309390902519226,0.3708652853965759,0.8511896729469299,0.8141487836837769,1.02118718624115,1.3342803716659546,1.0772438049316406,0.8742183446884155,1.1808964014053345,1.0853005647659302,0.9738223552703857,0.7073307633399963,0.6819806694984436,0.38797539472579956,0.5100888013839722,0.3142605423927307,0.3635875880718231,0.328311949968338,0.3082040548324585,0.5353909730911255,0.2815328538417816,0.30922991037368774,0.515917956829071,0.6388642191886902,0.7038240432739258,0.8036371469497681,0.6884913444519043,0.5707458853721619,0.6554657816886902,0.4619427025318146,0.6340723037719727,0.6680057048797607,0.7087094783782959,0.556157648563385,0.4698614776134491,0.445229172706604
scaling,0.503,1.0665557384490967,0.7390954494476318,0.7487770915031433,0.4958948493003845,0.5747953057289124,0.5469327569007874,0.6775760054588318,0.8389150500297546,0.7415326237678528,0.5632981657981873,0.29634207487106323,0.6675987243652344,0.6752622127532959,0.7672441005706787,0.8725668787956238,0.6465465426445007,0.3429080843925476,0.48849016427993774,0.5774347186088562,0.6600064039230347,0.5639083385467529,0.7614374160766602,0.7346428632736206,0.814949095249176,0.7415763139724731,0.7643492817878723,0.894601047039032,0.8703916072845459,0.7510690093040466,0.7764039039611816,1.0169386863708496,0.9319817423820496,0.6697299480438232,0.9410557746887207,1.0302194356918335,0.9761868119239807,0.7480453252792358,0.6431805491447449,0.6515250205993652,0.6396885514259338,0.7873370051383972,0.6844421029090881,0.7773289680480957,0.783949613571167,0.6483277082443237,1.0036213397979736,0.959564745426178,0.9334111213684082
